OptimumG Tutorial Tire Data,,,,,,,
i,SA,SR,IA,Fy,Fz,MZ,V
98,0,0.029,0.038,-40.57812,-2595.181,1.8546,0.125
99,0,0.028,0.04,-66.15216,-4689.137,-0.3006,0.129
100,-0.00237,0.014,0.038,-67.257,-4688.87,1.7082,0.125
101,-0.00158,0.015,0.042,-63.97806,-4690.205,0.36134,0.12
102,0,0.022,0.038,-63.89415,-4689.582,0.47139,0.12
103,0,0.029,0.038,-68.39388,-4683.577,1.9518,0.12
104,-0.00237,0.02,0.036,-64.99908,-4692.874,-0.423,0.125
105,0.00079,0.02,0.04,-64.959138,-4698.523,1.18959,0.138
106,0,0.02,0.04,-62.8596,-4699.679,0.84189,0.134
107,0.00079,0.014,0.042,-65.08113,-4697.188,-0.03186,0.125
108,0.00158,0.02,0.042,-63.939636,-4705.996,1.7385,0.129
109,-0.00158,0.034,0.039,-66.15216,-4699.813,0.2274,0.129
110,0,0.014,0.039,-67.238406,-4702.926,0.77585,0.125
111,0,0.014,0.04,-67.30488,-4696.966,1.7082,0.125
112,0,0.02,0.04,-67.257,-4696.121,-0.3984,0.125
113,0.00079,0.022,0.039,-67.28904,-4699.635,1.7082,0.125
114,0.00079,0.029,0.045,-65.020014,-4702.926,1.13601,0.12
115,-0.00237,0.023,0.038,-65.01492,-4705.64,-0.0078,0.116
116,0,0.015,0.038,-67.28904,-4700.124,1.7568,0.12
117,0.00395,0.028,0.042,-66.114084,-4703.016,0.14906,0.125
118,-0.00158,0.014,0.035,-64.9287,-4702.926,0.63327,0.125
119,0,0.025,0.038,-97.54524,-6807.335,0.52497,0.102
120,0,0.025,0.039,-103.76784,-6804.311,-1.1712,0.102
121,0,0.019,0.036,-100.370856,-6798.75,1.09272,0.143
122,0.00158,0.02,0.039,-99.25656,-6801.063,-0.58928,0.174
123,-0.00158,0.019,0.036,-100.96788,-6807.424,-0.45548,0.143
124,0,0.027,0.039,-104.92092,-6798.261,0.9594,0.129
125,-0.00158,0.016,0.038,-102.69504,-6788.875,-1.098,0.156
126,-0.00237,0.025,0.038,-100.339884,-6804.177,0.08642,0.138
127,0.00395,0.016,0.042,-103.78404,-6793.991,0.504,0.16
128,0,0.016,0.033,-102.069882,-6800.53,-0.95934,0.16
129,0.00316,0.02,0.04,-99.674874,-6795.058,0.95817,0.125
130,0.00316,0.024,0.04,-102.663,-6803.688,-0.1542,0.111
131,-0.00395,0.019,0.038,-102.069882,-6794.658,-0.31978,0.093
132,0.00079,0.016,0.036,-103.172238,-6797.105,1.25552,0.102
133,0,0.024,0.04,-97.52985,-6791.5,-0.67203,0.107
134,0.00079,0.027,0.039,-101.408244,-6797.771,0.22794,0.093
135,0.00079,0.025,0.036,-99.689922,-6791.367,0.49419,0.107
136,0,0.024,0.035,-103.172238,-6794.703,-1.05551,0.111
137,0.00158,0.018,0.04,-100.724472,-6794.48,0.74955,0.143
138,0,0.019,0.04,-102.069882,-6785.673,-0.53572,0.183
139,0,0.023,0.036,-139.153506,-8844.71,-0.18349,0.111
140,0,0.022,0.04,-141.4638,-8850.404,1.3176,0.116
141,-0.00158,0.015,0.039,-139.20588,-8853.34,-1.3662,0.111
142,0.00316,0.023,0.04,-136.490148,-8846.667,1.08927,0.111
143,-0.00158,0.038,0.039,-140.34312,-8845.555,0.7644,0.111
144,0,0.025,0.036,-135.862368,-8843.642,-0.58351,0.102
145,-0.00237,0.025,0.036,-139.302,-8853.028,1.4154,0.102
146,0,0.028,0.036,-132.306462,-8839.862,-0.67203,0.089
147,0.00158,0.036,0.04,-133.295526,-8848.847,0.56373,0.093
148,-0.00158,0.025,0.042,-131.18094,-8840.306,1.06647,0.098
149,0.00079,0.015,0.039,-137.988138,-8836.124,-0.55991,0.111
150,-0.00158,0.023,0.035,-132.367338,-8837.015,1.46034,0.111
151,0,0.032,0.036,-135.72696,-8830.743,0.57362,0.107
152,0,0.034,0.043,-139.12596,-8845.778,-0.3738,0.102
153,0.00158,0.025,0.039,-139.10607,-8844.888,2.30336,0.102
154,-0.00158,0.015,0.036,-135.846792,-8845.11,-0.19942,0.111
155,0.00553,0.025,0.04,-133.295526,-8839.239,0.63327,0.098
156,0.00316,0.027,0.042,-141.41592,-8839.683,1.7814,0.093
157,0,0.018,0.042,-133.265088,-8839.906,-0.47139,0.098
158,0.00079,0.032,0.045,-140.113908,-8840.306,1.46379,0.107
159,0.00079,0,0.039,-6.25356,-741.029,-0.14152,26.7
160,0,0,0.04,-7.286652,-760.423,-0.07695,26.7
161,0,0,0.036,-9.371142,-836.132,1.14342,26.7
162,0.00158,0,0.038,-7.476432,-887.197,0.7308,26.7
163,0,0,0.038,-8.85528,-892.98,1.212,26.7
164,0,0,0.042,-8.50383,-839.334,0.74955,26.7
165,0.00079,0,0.042,-7.7184,-763.626,-0.3414,26.7
166,0,0,0.035,-10.26855,-756.598,0.29355,26.7
167,0.00158,0,0.038,-8.66061,-832.973,0.6077,26.7
168,0,0,0.036,-8.83944,-889.421,0.8946,26.7
169,0.00158,0,0.04,-10.08828,-905.924,1.3746,26.7
170,0.00079,0,0.043,-5.400522,-865.801,-0.27018,26.7
171,-0.00158,0,0.038,-8.72712,-786.712,0.1542,26.7
172,0,0,0.038,-9.81612,-751.349,0.0648,26.7
173,-0.00395,0,0.038,-9.8802,-817.449,-0.2682,26.7
174,-0.00158,0,0.036,-7.605336,-892.001,1.6638,26.7
175,0,0,0.039,-6.74172,-908.771,0.813,26.7
176,0.00158,0,0.04,-7.8624,-892.669,0.5772,26.7
177,-0.00158,0,0.04,-10.912404,-830.127,0.73573,26.7
178,0.00158,0,0.042,-6.6294,-762.158,-0.447,26.7
179,0.00158,0,0.04,-10.496664,-827.413,-0.01539,26.7
180,-0.00237,0,0.038,-12.47445,-777.504,-0.05358,26.7
181,-0.00158,0,0.036,-12.975162,-836.221,0.1357,26.7
182,0,0,0.039,-10.633806,-924.785,0.72618,26.7
183,0,0,0.042,-7.63686,-948.627,1.25913,26.7
184,0,0,0.036,-6.70968,-922.961,0.2928,26.7
185,0.00079,0,0.038,-11.9829,-855.57,0.31978,26.7
186,0.00158,0,0.039,-8.629104,-793.696,-0.03953,26.7
187,0,0,0.036,-8.71128,-830.216,-0.3168,26.7
188,0,0,0.036,-10.711788,-910.239,1.35256,26.7
189,0,0,0.036,-13.101186,-946.27,0.70387,26.7
190,0,0,0.039,-12.717954,-932.703,0.73416,26.7
191,0,0,0.045,-12.37824,-855.348,0.8376,26.7
192,-0.00158,0,0.035,-9.68796,-782.798,-0.2682,26.7
193,0.00316,0,0.042,-11.99883,-793.117,0.41595,26.7
194,0,0,0.036,-14.968872,-867.403,0.8178,26.7
195,0.00395,0,0.04,-9.614304,-925.363,0.81909,26.7
196,0,0,0.042,-10.16856,-924.162,1.5696,26.7
197,0.00158,0,0.039,-11.607138,-868.337,0.57912,26.7
198,0.00079,0,0.04,-16.313382,-792.005,0.03186,26.7
199,0,0,0.04,-27.44379,-2836.853,0.9348,26.7
200,0,0,0.036,-26.795304,-2893.79,0.3538,26.7
201,0,0,0.036,-31.587774,-2903.042,2.11161,26.7
202,-0.00237,0,0.036,-33.760626,-2906.334,1.63961,26.7
203,0,0,0.035,-34.8159,-2886.05,1.13575,26.7
204,0,0,0.04,-29.527938,-2821.284,1.24374,26.7
205,0.00316,0,0.039,-24.37236,-2834.14,0.309,26.7
206,0.00316,0,0.04,-18.94392,-2877.687,1.0656,26.7
207,-0.00237,0,0.038,-24.249168,-2897.438,1.54527,26.7
208,0.00079,0,0.043,-30.642948,-2899.039,1.4396,26.7
209,0,0,0.042,-31.176276,-2888.23,1.67446,26.7
210,-0.00158,0,0.04,-24.4044,-2827.645,1.212,26.7
211,0,0,0.035,-19.210296,-2810.164,0.53418,26.7
212,0,0,0.039,-19.046322,-2876.753,1.16679,26.7
213,0,0,0.035,-25.06851,-2906.156,0.97586,26.7
214,0,0,0.036,-27.848004,-2905.889,2.20922,26.7
215,0,0,0.042,-29.024592,-2904.199,1.88674,26.7
216,0,0,0.04,-24.23412,-2835.252,0.61788,26.7
217,0,0,0.038,-21.0258,-2812.21,0.9432,26.7
218,-0.00158,0,0.036,-20.00088,-2853.845,0.7482,26.7
219,0.00158,0,0.039,-52.758288,-4968.218,2.14833,26.7
220,-0.00237,0,0.035,-51.516528,-4938.771,2.76776,26.7
221,0,0,0.038,-43.31664,-4899.36,1.5048,26.7
222,0,0,0.036,-37.677612,-4925.827,1.65126,26.7
223,0.00079,0,0.035,-36.217386,-4976.403,1.34343,26.7
224,0,0,0.039,-42.673284,-4991.527,1.15935,26.7
225,0,0,0.042,-52.631172,-4981.519,2.72078,26.7
226,0.00158,0,0.045,-52.631172,-4967.106,1.97374,26.7
227,-0.00158,0,0.035,-42.17976,-4905.676,1.749,26.7
228,0,0,0.036,-33.949662,-4905.988,1.7995,26.7
229,0,0,0.039,-34.550832,-4966.884,0.57362,26.7
230,0.00079,0,0.045,-43.49268,-4993.751,1.6512,26.7
231,0,0,0.04,-52.420674,-4977.204,2.31929,26.7
232,0,0,0.042,-48.529116,-4965.95,1.92375,26.7
233,0,0,0.039,-49.11396,-4925.293,1.84729,26.7
234,0.00158,0,0.042,-41.571282,-4897.892,0.78352,26.7
235,0,0,0.036,-37.058436,-4959.144,1.1742,26.7
236,0,0,0.043,-43.417584,-4987.345,1.75389,26.7
237,-0.00158,0,0.038,-55.51884,-4987.968,1.635,26.7
238,0.00158,0,0.042,-60.089376,-4986.812,2.70338,26.7
239,0,0,0.036,-63.331218,-6940.115,1.25172,26.7
240,0,0,0.036,-73.828224,-6986.465,1.16679,26.7
241,0.00079,0,0.04,-86.764056,-6968.183,2.48472,26.7
242,-0.00158,0,0.039,-90.79704,-6939.092,2.8308,26.7
243,0,0,0.04,-87.45012,-6891.452,3.099,26.7
244,0,0,0.04,-79.52079,-6863.961,2.12754,26.7
245,0.00316,0,0.042,-74.31876,-6923.301,1.3092,26.7
246,0.00079,0,0.04,-74.832336,-6976.057,2.05542,26.7
247,0,0,0.04,-88.869456,-6962.268,1.94996,26.7
248,0,0,0.033,-98.513232,-6947.543,2.72078,26.7
249,0,0,0.042,-86.241798,-6888.205,3.19941,26.7
250,0.00079,0,0.043,-72.922938,-6848.971,1.96765,26.7
251,0,0,0.04,-64.334064,-6906.665,1.66692,26.7
252,-0.00158,0,0.038,-71.903412,-6957.107,1.23424,26.7
253,0,0,0.036,-85.711704,-6965.647,1.76146,26.7
254,0.00158,0,0.039,-90.990168,-6935.845,3.20798,26.7
255,-0.00237,0,0.035,-85.25628,-6895.188,2.928,26.7
256,-0.00158,0,0.036,-74.19096,-6859.068,2.2206,26.7
257,0.00395,0,0.042,-67.67316,-6894.966,1.8624,26.7
258,-0.00158,0,0.035,-69.97932,-6962.579,1.0086,26.7
259,0,0,0.042,-114.519492,-8955.249,3.09778,26.7
260,0,0,0.036,-96.54738,-8948.398,2.59492,26.7
261,0,0,0.038,-92.844108,-9021.083,1.53786,26.7
262,0,0,0.035,-108.650322,-9060.137,2.13294,26.7
263,0.00079,0,0.042,-122.037912,-9051.997,2.26404,26.7
264,-0.00158,0,0.035,-122.113836,-9008.45,3.16806,26.7
265,0,0,0.039,-114.06456,-8954.625,3.6444,26.7
266,0,0,0.042,-94.271808,-8944.75,2.0126,26.7
267,0,0,0.042,-90.684036,-9018.947,1.99386,26.7
268,0,0,0.038,-103.018092,-9060.404,1.76146,26.7
269,0,0,0.04,-120.934542,-9052.798,1.92753,26.7
270,0,0,0.036,-127.43604,-9013.342,3.5466,26.7
271,0.00079,0,0.04,-107.296686,-8955.827,2.90529,26.7
272,0.00316,0,0.042,-97.50672,-8930.783,2.3016,26.7
273,0,0,0.04,-90.6063,-9001.777,2.23138,26.7
274,0.00079,0,0.042,-100.35369,-9064.185,1.43134,26.7
275,0.00079,0,0.038,-120.83832,-9040.432,2.562,26.7
276,-0.00395,0,0.039,-124.162668,-9016.589,3.27922,26.7
277,0.00079,0,0.04,-111.49542,-8954.091,3.02898,26.7
278,0.00079,0,0.04,-100.009692,-8936.877,3.06774,26.7
279,0,0,0.042,-35.036088,-4927.962,1.35169,26.7
280,-0.00158,0,0.038,-39.05127,-4921.29,2.25606,26.7
281,0.00158,0,0.04,-36.485712,-4869.156,2.4766,26.7
282,0,0,0.038,-31.03416,-4811.463,1.2522,26.7
283,-0.00158,0,0.039,-24.46848,-4820.182,1.578,26.7
284,0,0,0.039,-29.117508,-4881.078,0.8961,26.7
285,0.00316,0,0.04,-36.6096,-4942.418,1.39142,26.7
286,0,0,0.036,-40.820052,-4938.371,2.85418,26.7
287,0.00079,0,0.039,-39.005784,-4893.311,1.90095,26.7
288,0,0,0.039,-34.303056,-4817.824,1.8241,26.7
289,0,0,0.036,-33.29208,-4816.845,1.3254,26.7
290,0,0,0.039,-33.343272,-4876.051,0.93554,26.7
291,0,0,0.039,-41.571282,-4932.01,2.39953,26.7
292,0,0,0.036,-48.88944,-4935.257,2.3016,26.7
293,0,0,0.033,-45.319104,-4907.767,2.21787,26.7
294,-0.00237,0,0.042,-36.043926,-4825.831,2.73524,26.7
295,0.00158,0,0.04,-25.100016,-4813.153,0.99179,26.7
296,-0.00158,0,0.035,-27.971892,-4864.264,1.32878,26.7
297,0.00158,0,0.039,-38.961,-4931.654,1.659,26.7
298,0,0,0.036,-43.31664,-4944.332,1.773,26.7
299,0,0,0.042,-40.43742,-4912.038,2.91165,26.7
300,0,0,0.04,-29.51289,-4835.528,1.81602,26.7
301,-0.00158,0,0.038,-28.391154,-4807.815,1.60775,26.7
302,0,0,0.036,-28.485672,-4849.406,1.63135,26.7
303,0,0,0.036,-33.42024,-4917.375,1.0734,26.7
304,0,0,0.038,-40.835712,-4951.76,2.39018,26.7
305,0.00316,0,0.038,-42.17976,-4931.253,2.6514,26.7
306,0.00158,0,0.045,-34.822098,-4848.961,1.49112,26.7
307,-0.00237,0,0.036,-26.348706,-4797.674,1.76187,26.7
308,0,0,0.039,-26.29689,-4831.791,1.08737,26.7
309,-0.00158,0,0.035,-28.501248,-4899.315,1.16761,26.7
310,-0.00158,0,0.038,-32.27526,-4943.798,2.57114,26.7
311,0.00079,0,0.045,-38.280144,-4920.8,1.83962,26.7
312,-0.00158,0,0.039,-39.005784,-4859.593,2.0862,26.7
313,0.00158,0,0.04,-32.18724,-4808.838,1.5696,26.7
314,0.00158,0,0.038,-24.705564,-4829.879,0.99064,26.7
315,0.00316,0,0.042,-28.049148,-4886.282,1.74522,26.7
316,0,0,0.038,-40.05,-4931.121,1.8054,26.7
317,0,0,0.038,-45.395028,-4930.942,2.39571,26.7
318,-0.00237,0,0.038,-38.201202,-4867.644,2.51163,26.7
319,0.00395,0,0.04,-26.61444,-4804.479,1.521,26.7
320,0.00158,0,0.045,-21.547812,-4820.849,1.05328,26.7
321,0,0,0.035,-31.76088,-4883.702,1.29564,26.7
322,0.00079,0,0.04,-35.9784,-4922.713,1.12005,26.7
323,0,0,0.036,-36.059856,-4921.779,2.8792,26.7
324,0.00079,0,0.04,-31.672962,-4885.926,2.05542,26.7
325,0.00395,0,0.042,-31.11408,-4820.671,1.7568,26.7
326,0,0,0.039,-27.383316,-4820.404,1.75938,26.7
327,0,0,0.038,-28.033836,-4874.672,0.91988,26.7
328,-0.00158,0,0.04,-32.829264,-4936.502,1.77726,26.7
329,0.00158,0,0.043,-39.398076,-4935.791,2.26324,26.7
330,-0.00158,0,0.038,-37.971234,-4892.91,1.8468,26.7
331,0.00158,0,0.036,-32.151372,-4832.28,2.17036,26.7
332,0.00079,0,0.042,-26.44002,-4817.068,1.12803,26.7
333,-0.00158,0,0.042,-25.897464,-4876.185,0.94308,26.7
334,0,0,0.039,-31.764276,-4930.675,1.56864,26.7
335,-0.00237,0,0.038,-39.767352,-4946.556,1.98128,26.7
336,-0.00158,0,0.036,-42.169968,-4917.331,2.84373,26.7
337,0,0,0.036,-38.56014,-4839.665,2.03638,26.7
338,-0.00158,0,0.039,-27.71928,-4808.26,1.4232,26.7
339,0.00079,0,0.039,-27.504666,-4849.762,1.69974,26.7
340,-0.00158,0,0.036,-37.83996,-4915.151,0.984,26.7
341,0,0,0.039,-45.13908,-4949.18,2.0126,26.7
342,0,0,0.039,-41.523846,-4912.571,3.29515,26.7
343,0,0,0.036,-31.58199,-4857.947,1.76928,26.7
344,0,0,0.038,-28.359648,-4813.109,1.60775,26.7
345,-0.00158,0,0.038,-29.572098,-4841.889,1.39948,26.7
346,0,0,0.042,-31.792386,-4920.088,0.91155,26.7
347,-0.00237,0,0.039,-35.96301,-4934.768,2.63511,26.7
348,0.00079,0,0.042,-37.162212,-4923.424,2.33522,26.7
349,0.00316,0,0.042,-33.7725,-4854.878,2.1945,26.7
350,0,0,0.035,-28.463292,-4811.552,1.99386,26.7
351,-0.00237,0,0.039,-22.631136,-4834.416,0.85666,26.7
352,0,0,0.038,-28.517178,-4901.317,1.47972,26.7
353,-0.00158,0,0.036,-33.343272,-4944.999,1.81598,26.7
354,-0.00158,0,0.036,-38.001672,-4935.257,2.00127,26.7
355,0.00553,0,0.04,-33.33996,-4872.537,2.5296,26.7
356,0.00079,0,0.043,-22.56954,-4812.219,0.92742,26.7
357,0,0,0.039,-20.126358,-4827.966,1.07388,26.7
358,0.00158,0,0.036,-24.38631,-4889.084,1.33665,26.7
359,-0.00237,0,0.039,-33.389904,-4917.953,1.34444,26.7
360,-0.00237,0,0.036,-42.22764,-4931.387,3.0504,26.7
361,0,0,0.04,-37.569384,-4886.86,2.17036,26.7
362,-0.00158,0,0.038,-31.08336,-4818.447,1.32878,26.7
363,0,0,0.035,-27.909948,-4816.445,1.64314,26.7
364,-0.00158,0,0.033,-27.504666,-4863.374,0.81909,26.7
365,0,0,0.043,-37.303812,-4921.689,1.62368,26.7
366,0.00079,0,0.036,-41.13864,-4945.888,2.8794,26.7
367,0,0,0.039,-37.130706,-4905.143,1.95939,26.7
368,0.00079,0,0.039,-32.753142,-4827.565,2.11161,26.7
369,0.00158,0,0.043,-30.04128,-4819.737,1.1712,26.7
370,0.00079,0,0.045,-29.01636,-4875.651,0.7158,26.7
371,-0.00237,0,0.036,-33.934086,-4935.391,1.89567,26.7
372,-0.00237,0,0.039,-40.05,-4940.105,2.082,26.7
373,0,0,0.038,-40.42149,-4904.208,2.26324,26.7
374,0,0,0.042,-34.44516,-4847.894,2.31,26.7
375,0.00395,0,0.04,-27.78336,-4822.406,0.9516,26.7
376,-0.00158,0,0.039,-26.312466,-4865.331,1.60775,26.7
377,0,0,0.038,-32.863236,-4926.36,1.53577,26.7
378,0.00158,0,0.04,-39.398076,-4940.728,1.7995,26.7
379,0.00158,0,0.036,-39.75204,-4912.171,3.13722,26.7
380,0,0,0.042,-31.160616,-4838.908,1.69824,26.7
381,0,0,0.042,-25.359642,-4802.522,1.66155,26.7
382,0.00079,0,0.036,-24.325434,-4853.499,1.72311,26.7
383,0.00079,0,0.042,-30.18552,-4923.247,1.0614,26.7
384,0.00079,0,0.042,-41.602788,-4950.826,2.25557,26.7
385,-0.00158,0,0.039,-40.116258,-4930.319,2.3028,26.7
386,0.00079,0,0.04,-37.728,-4865.465,1.9764,26.7
387,0.00079,0,0.036,-30.562488,-4809.862,1.90095,26.7
388,0.00079,0,0.036,-27.94092,-4835.395,0.60494,26.7
389,0,0,0.042,-31.284504,-4897.002,1.5254,26.7
390,0.00158,0,0.04,-36.138444,-4934.768,2.42372,26.7
391,0.00079,0,0.035,-35.856648,-4930.364,2.00925,26.7
392,-0.00158,0,0.038,-34.80705,-4877.786,2.5422,26.7
393,0,0,0.036,-30.54843,-4811.062,1.51158,26.7
394,-0.00237,0,0.036,-24.294996,-4825.742,0.71079,26.7
395,0.00158,0,0.042,-26.80668,-4894.378,1.6752,26.7
396,0.00079,0,0.043,-32.34744,-4930.72,1.5372,26.7
397,-0.00237,0,0.038,-36.70308,-4933.745,2.367,26.7
398,-0.00237,0,0.038,-35.55,-4890.196,2.6436,26.7
399,0,0,0.033,-28.328142,-4821.249,1.18354,26.7
400,-0.00158,0,0.039,-23.260446,-4815.511,1.42956,26.7
401,-0.00158,0,0.039,-24.17112,-4868.801,0.91155,26.7
402,-0.00158,0,0.039,-31.779666,-4924.893,1.38282,26.7
403,0,0,0.033,-36.967122,-4937.97,2.68926,26.7
404,0.00079,0,0.043,-34.411284,-4894.645,1.76146,26.7
405,0,0,0.043,-26.202372,-4825.92,1.56763,26.7
406,0,0,0.035,-22.16502,-4804.791,1.12803,26.7
407,0,0,0.038,-24.355872,-4872.403,0.70281,26.7
408,0,0,0.04,-40.12992,-4927.517,1.8462,26.7
409,0,0,0.038,-40.835712,-4948.602,2.26432,26.7
410,0,0,0.039,-39.319488,-4908.301,2.46325,26.7
411,0.00079,0,0.042,-35.856648,-4838.152,2.27202,26.7
412,0.00158,0,0.042,-32.228628,-4814.888,0.7627,26.7
413,0,0,0.04,-30.16986,-4858.48,1.27368,26.7
